FY,Received From,Value,Party (specific),Party Group,Receipt type,Category,Subcategory,AEC
2022,Great Latitude Pty Ltd,"30,000",LNP QLD,Liberal/Nationals,Donation Received,Services & Retail Sector,Entertainment,🔗
2022,Livestock + Rural Transporters Association of SA,"30,000",LNP QLD,Liberal/Nationals,Donation Received,Lobbying Firms,,🔗
2022,Peter Hall,"30,000",LNP QLD,Liberal/Nationals,Donation Received,Individual,,🔗
2022,PG Consolidated Pty Ltd as Trustee for PG Trust,"30,000",LNP QLD,Liberal/Nationals,Donation Received,Uncategorised Company,,🔗
2022,The Trustee for the Liang + Chen Family Trust,"30,000",LNP QLD,Liberal/Nationals,Donation Received,Individual,,🔗
2022,Liberals (NSW),"30,000",Liberals (WA),Liberal/Nationals,Donation Received,Intra-Political Party,,🔗
2022,Amazon Commercial Services Pty Ltd,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Services & Retail Sector,Retail & Service,🔗
2022,Animal Medicines Australia,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Lobbying Firms,,🔗
2022,APA Group,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Energy and Resource Companies,Fossil Fuel Industry > Oil and Gas,🔗
2022,Auspaynet,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Lobbying Firms,,🔗
2022,Australian Airports Association,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Developers and Property Industry,Developers/Property,🔗
2022,Australian Bankers Association,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Banking and Finance Industry,,🔗
2022,Australian Chamber of Commerce and Industry,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Services & Retail Sector,Retail & Service,🔗
2022,Australian Finance Industry Association Limited,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Banking and Finance Industry,,🔗
2022,Australian Pipelines & Gas Association,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Energy and Resource Companies,Other Energy and Resource Companies,🔗
2022,Australian Trucking Association,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Services & Retail Sector,Transportation,🔗
2022,Bristol-Myers Squibb Australia Pty Ltd,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Pharma & Private Health Industry,Pharmaceutical Corporations,🔗
2022,BUPA Australia,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,AIRTASKER LTD,"30,000",Labor (Fed),Labor,Donation Received,Services & Retail Sector,Retail & Service,🔗
2022,AIRTASKER LTD,"30,000",Labor (Fed),Labor,Donation Received,Services & Retail Sector,Retail & Service,🔗
2022,Amazon Commercial Services Pty Ltd,"30,000",Labor (Fed),Labor,Other Receipt,Services & Retail Sector,Retail & Service,🔗
2022,John Curtin House Limited,"30,000",Labor (Fed),Labor,Other Receipt,Political Fundraising Bodies,Associated Entities,🔗
2022,Macquarie Telecom Pty Ltd,"30,000",Labor (Fed),Labor,Donation Received,Media and Communications,,🔗
2022,Labor (TAS),"30,000",Labor (Fed),Labor,Donation Received,Intra-Political Party,,🔗
2022,Wycombe Services Pty Ltd,"30,000",Labor (Fed),Labor,Other Receipt,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,AGS World Transport,"30,000",Labor (NSW),Labor,Donation Received,Services & Retail Sector,Transportation,🔗
2022,AIRTASKER LTD,"30,000",Labor (NSW),Labor,Donation Received,Services & Retail Sector,Retail & Service,🔗
2022,Electrical Trades Union of Australia NSW Branch,"30,000",Labor (NSW),Labor,Donation Received,Union,,🔗
2022,Construction Forestry Mining & Energy Union (NSW Branch) Construction & General Division (NSW State Body),"30,000",Labor (NSW),Labor,Donation Received,Union,,🔗
2022,Mr & Ms Michael and Vicki Quigley,"30,000",Labor (NSW),Labor,Donation Received,Individual,,🔗
2022,The McLean Forum Limited,"30,000",Labor (NSW),Labor,Donation Received,Political Fundraising Bodies,Associated Entities,🔗
2022,New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union,"30,000",Labor (NSW),Labor,Donation Received,Union,,🔗
2022,Australian Rail Tram & Bus Industry Union,"30,000",Labor (NT),Labor,Donation Received,Union,,🔗
2022,Australian Workers Union SA Branch,"30,000",Labor (SA),Labor,Donation Received,Union,,🔗
2022,Anacta Strategies,"30,000",Labor (QLD),Labor,Donation Received,Lobbying Firms,,🔗
2022,Cornerstone Group,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Lobbying Firms,,🔗
2022,Cornerstone Health,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,Federal Chamber of Automative Industries,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Lobbying Firms,,🔗
2022,Holmes Institute,"30,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Education,,🔗
2022,Independent Schools Victoria,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Lobbying Firms,,🔗
2022,INPEX,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Energy and Resource Companies,Fossil Fuel Industry > Oil and Gas,🔗
2022,INPEX,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Energy and Resource Companies,Fossil Fuel Industry > Oil and Gas,🔗
2022,Insurance Council of Australia,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Banking and Finance Industry,,🔗
2022,Liberals (WA),"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Intra-Political Party,,🔗
2022,McArthur Management Service (Vic) Pty Ltd,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Consultancies and Law Firms,Consulting,🔗
2022,Medibank Private,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,Meriton Property Services,"30,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Developers and Property Industry,Developers/Property,🔗
2022,Motor Traders Association,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Lobbying Firms,,🔗
2022,MYOB,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Banking and Finance Industry,,🔗
2022,Navitas Limited,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Education,,🔗
2022,Network Ten Pty Ltd,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Media and Communications,,🔗
2022,Novartis Pharmaceuticals,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Pharma & Private Health Industry,Pharmaceutical Corporations,🔗
2022,Singtel Optus Pty Ltd,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Media and Communications,,🔗
2022,Private Healthcare Australia Limited,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,Sanofi-Aventis Australia Pty Ltd,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Pharma & Private Health Industry,Pharmaceutical Corporations,🔗
2022,Santos Limited,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Energy and Resource Companies,Fossil Fuel Industry > Oil and Gas,🔗
2022,Study Group,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Services & Retail Sector,IT,🔗
2022,Suncorp Group Limited,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Banking and Finance Industry,,🔗
2022,Swisse Wellness Pty Ltd,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Pharma & Private Health Industry,Pharmaceutical Corporations,🔗
2022,TAL,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Banking and Finance Industry,,🔗
2022,Tech Council,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Lobbying Firms,,🔗
2022,VISA AP (Australia) Pty Ltd,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Banking and Finance Industry,,🔗
2022,VOCUS GROUP LIMITED,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Services & Retail Sector,IT,🔗
2022,Westpac Banking Corporation,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Banking and Finance Industry,,🔗
2022,WorkPac Pty Ltd,"30,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Consultancies and Law Firms,Consulting,🔗
2022,Pratt Holdings Pty Ltd,"30,000",Liberals (TAS),Liberal/Nationals,Donation Received,Manufacturing and Heavy Industry,,🔗
2022,Boileau Business Technology,"30,000",Liberals (SA),Liberal/Nationals,Donation Received,Consultancies and Law Firms,Consulting,🔗
2022,Ms Ann Irwin,"30,000",Liberals (SA),Liberal/Nationals,Donation Received,Individual,,🔗
2022,Brand Central,"30,000",Liberals (VIC),Liberal/Nationals,Other Receipt,Services & Retail Sector,Retail & Service,🔗
2022,Dar Al Handasah (funds returned),"30,000",Liberals (VIC),Liberal/Nationals,Other Receipt,Individual,,🔗
2022,Higgins 200 Club,"30,000",Liberals (VIC),Liberal/Nationals,Donation Received,Political Fundraising Bodies,Associated Entities,🔗
2022,Kew 500 Club,"30,000",Liberals (VIC),Liberal/Nationals,Donation Received,Political Fundraising Bodies,,🔗
2022,Health Insurance Restricted Membership Association,"30,000",Liberals (VIC),Liberal/Nationals,Donation Received,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,Mira D'silva,"30,000",Liberals (VIC),Liberal/Nationals,Donation Received,Individual,,🔗
2022,Tabcorp Holdings Limited,"30,000",Liberals (VIC),Liberal/Nationals,Other Receipt,Gambling - Tobacco - Alcohol,Gambling Industry,🔗
2022,VISA AP (Australia) Pty Ltd,"30,000",Liberals (VIC),Liberal/Nationals,Other Receipt,Banking and Finance Industry,,🔗
2022,Amazon Commercial Services Pty Ltd,"30,000",Liberals (NSW),Liberal/Nationals,Other Receipt,Services & Retail Sector,Retail & Service,🔗
2022,IVE GROUP,"30,000",Liberals (NSW),Liberal/Nationals,Other Receipt,Media and Communications,Advertising/Agencies,🔗
2022,Liberal Party (Fed),"30,000",Liberals (NSW),Liberal/Nationals,Donation Received,Intra-Political Party,,🔗
2022,Moelis Operating Australia,"30,000",Liberals (NSW),Liberal/Nationals,Donation Received,Banking and Finance Industry,,🔗
2022,Servcorp Administration Pty Ltd,"30,000",Liberals (NSW),Liberal/Nationals,Donation Received,Developers and Property Industry,Developers/Property,🔗
2022,Sugolena Holdings Pty Ltd,"30,000",Liberals (NSW),Liberal/Nationals,Donation Received,Developers and Property Industry,Developers/Property,🔗
2022,Sugolena Holdings Pty Ltd,"30,000",Liberals (NSW),Liberal/Nationals,Donation Received,Developers and Property Industry,Developers/Property,🔗
2022,Precision Group,"30,000",One Nation (Fed),One Nation,Other Receipt,Developers and Property Industry,Developers/Property,🔗
2022,"Construction, Forestry, Maritime, Mining and Energy Union","30,000",Reason Aus,,Donation Received,Union,,🔗
2022,The Federation of Hunting Clubs Inc,"30,000",Shooters & Fishers,,Donation Received,Political Fundraising Bodies,Associated Entities,🔗
2022,Abba Engineering,"30,000",GAP Great Aus Party,,Donation Received,Developers and Property Industry,Engineering,🔗
2022,Webdrill Australia Pty Ltd,"30,000",GAP Great Aus Party,,Donation Received,Manufacturing and Heavy Industry,,🔗
2022,John Hughes,"29,990",Liberals (WA),Liberal/Nationals,Donation Received,Individual,,🔗
2022,Labor (NSW),"29,664",Labor (Fed),Labor,Other Receipt,Intra-Political Party,,🔗
2022,Labor (Fed),"29,544",Labor (WA),Labor,Donation Received,Intra-Political Party,,🔗
2022,Australasian Meat Industry Employees Union (QLD),"29,479",Labor (QLD),Labor,Other Receipt,Union,,🔗
2022,Eventbrite,"29,087",Labor (NSW),Labor,Other Receipt,Services & Retail Sector,Entertainment,🔗
2022,Department of Finance,"28,919",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Government,,🔗
2022,Greens (Fed),"28,874",Greens (ACT),Greens,Donation Received,Intra-Political Party,,🔗
2022,Liberals (TAS),"28,813",Gatenby Investment Fund,Liberal/Nationals,Other Receipt,Intra-Political Party,,🔗
2022,SAP Australia,"28,700",Liberals (TAS),Liberal/Nationals,Other Receipt,Services & Retail Sector,IT,🔗
2022,Satterley and Co Real Estate,"28,193",Labor (WA),Labor,Donation Received,Developers and Property Industry,Developers/Property,🔗
2022,The Chifley Research Centre Ltd,"28,077",Labor (Fed),Labor,Other Receipt,Political Fundraising Bodies,Associated Entities,🔗
2022,Jefferson Investments Pty Limited,"28,000",Liberals (WA),Liberal/Nationals,Donation Received,Banking and Finance Industry,,🔗
2022,Regent Motors Group,"28,000",Liberals (WA),Liberal/Nationals,Donation Received,Services & Retail Sector,Transportation,🔗
2022,Electoral Commission of Queensland,"27,970",LNP QLD,Liberal/Nationals,Other Receipt,Government,,🔗
2022,Automotive Food Metals Engineering Printing & Kindred Ind. Union,"27,903",Labor (Fed),Labor,Donation Received,Union,,🔗
2022,Greens (Fed),"27,898",Greens (TAS),Greens,Other Receipt,Intra-Political Party,,🔗
2022,Labor (QLD),"27,831",Labor (Fed),Labor,Other Receipt,Intra-Political Party,,🔗
2022,Greens (Fed),"27,810",Greens (NSW),Greens,Other Receipt,Intra-Political Party,,🔗
2022,The Australian Workers' Union NSW Branch,"27,752",Labor (NSW),Labor,Donation Received,Union,,🔗
2022,Commonwealth Bank of Australia,"27,658",The Liberal Party of Western Australia Pty Ltd,Liberal/Nationals,Other Receipt,Banking and Finance Industry,,🔗
2022,Community and Public Sector Union (PSU Group),"27,600",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Community and Public Sector Union (PSU Group),"27,600",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Holding Redlich,"27,500",Labor (QLD),Labor,Donation Received,Consultancies and Law Firms,Law Firms,🔗
2022,Australian Secure Capital Fund Ltd,"27,500",LNP QLD,Liberal/Nationals,Donation Received,Banking and Finance Industry,,🔗
2022,J J Richards & Sons,"27,500",LNP QLD,Liberal/Nationals,Donation Received,Energy and Resource Companies,Waste & Resource Recovery,🔗
2022,Morgans Financial Limited,"27,500",LNP QLD,Liberal/Nationals,Donation Received,Banking and Finance Industry,,🔗
2022,St Baker Energy Innovation Trust,"27,500",LNP QLD,Liberal/Nationals,Donation Received,Energy and Resource Companies,Other Energy and Resource Companies,🔗
2022,AMGEN Australia Pty Ltd,"27,500",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Pharma & Private Health Industry,Pharmaceutical Corporations,🔗
2022,Medtronic Austaliasia Pty Limited,"27,500",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,Ramsay Health Care,"27,500",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,Telstra Corporation,"27,500",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Media and Communications,,🔗
2022,Westpac Banking Corporation,"27,500",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Banking and Finance Industry,,🔗
2022,AIA Australia Ltd,"27,500",Labor (Fed),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,AMGEN Australia Pty Ltd,"27,500",Labor (Fed),Labor,Other Receipt,Pharma & Private Health Industry,Pharmaceutical Corporations,🔗
2022,Animal Medicines Australia,"27,500",Labor (Fed),Labor,Other Receipt,Lobbying Firms,,🔗
2022,APA Group,"27,500",Labor (Fed),Labor,Other Receipt,Energy and Resource Companies,Fossil Fuel Industry > Oil and Gas,🔗
2022,Austal Ships Pty Ltd,"27,500",Labor (Fed),Labor,Other Receipt,Defence & Weapons Industry,Defence Industry,🔗
2022,Australian Automotive Dealer Association,"27,500",Labor (Fed),Labor,Other Receipt,Services & Retail Sector,Transportation,🔗
2022,Australian Computer Society,"27,500",Labor (Fed),Labor,Other Receipt,Union,,🔗
2022,Australian Finance Industry Association Limited,"27,500",Labor (Fed),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,Australian Owned Contractors Limited,"27,500",Labor (Fed),Labor,Other Receipt,Developers and Property Industry,Developers/Property,🔗
2022,Australian Payments Network,"27,500",Labor (Fed),Labor,Other Receipt,Lobbying Firms,,🔗
2022,APPEA Limited,"27,500",Labor (Fed),Labor,Other Receipt,Energy and Resource Companies,Fossil Fuel Industry > Oil and Gas,🔗
2022,Australian Pipelines & Gas Association,"27,500",Labor (Fed),Labor,Other Receipt,Energy and Resource Companies,Other Energy and Resource Companies,🔗
2022,Bayer Australia Limited,"27,500",Labor (Fed),Labor,Other Receipt,Food and Agriculture,,🔗
2022,Blackmores Ltd,"27,500",Labor (Fed),Labor,Other Receipt,Pharma & Private Health Industry,Pharmaceutical Corporations,🔗
2022,Camufarre Investments Pty Ltd,"27,500",Labor (Fed),Labor,Other Receipt,Uncategorised Company,,🔗
2022,Camufarre Investments Pty Ltd,"27,500",Labor (Fed),Labor,Other Receipt,Uncategorised Company,,🔗
2022,Deloitte Touche Tohmatsu,"27,500",Labor (Fed),Labor,Other Receipt,Consultancies and Law Firms,Accounting/Advisory,🔗
2022,Department of Finance,"27,500",Labor (Fed),Labor,Other Receipt,Government,,🔗
2022,Ernst & Young,"27,500",Labor (Fed),Labor,Other Receipt,Consultancies and Law Firms,Accounting/Advisory,🔗
2022,Fox Private Group,"27,500",Labor (Fed),Labor,Other Receipt,Services & Retail Sector,Transportation,🔗
2022,Gilbert & Tobin,"27,500",Labor (Fed),Labor,Other Receipt,Consultancies and Law Firms,Law Firms,🔗
2022,Hall and Prior,"27,500",Labor (Fed),Labor,Other Receipt,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,Hanwha Defense Australia,"27,500",Labor (Fed),Labor,Other Receipt,Defence & Weapons Industry,Defence Industry,🔗
2022,HCF,"27,500",Labor (Fed),Labor,Other Receipt,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,Primary Health Care Limited,"27,500",Labor (Fed),Labor,Other Receipt,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,INPEX,"27,500",Labor (Fed),Labor,Other Receipt,Energy and Resource Companies,Fossil Fuel Industry > Oil and Gas,🔗
2022,INPEX,"27,500",Labor (Fed),Labor,Other Receipt,Energy and Resource Companies,Fossil Fuel Industry > Oil and Gas,🔗
2022,Holding Redlich,"27,500",Labor (Fed),Labor,Other Receipt,Consultancies and Law Firms,Law Firms,🔗
2022,Linfox Australia Pty Ltd,"27,500",Labor (Fed),Labor,Other Receipt,Services & Retail Sector,Transportation,🔗
2022,LMS Energy,"27,500",Labor (Fed),Labor,Other Receipt,Energy and Resource Companies,Other Energy and Resource Companies,🔗
2022,Macquarie Telecom Pty Ltd,"27,500",Labor (Fed),Labor,Other Receipt,Media and Communications,,🔗
2022,Macquarie Telecom Pty Ltd,"27,500",Labor (Fed),Labor,Other Receipt,Media and Communications,,🔗
2022,Maurice Blackburn Lawyers,"27,500",Labor (Fed),Labor,Other Receipt,Consultancies and Law Firms,Law Firms,🔗
2022,Medibank Private,"27,500",Labor (Fed),Labor,Other Receipt,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,Morgans Financial Limited,"27,500",Labor (Fed),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,MYOB,"27,500",Labor (Fed),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,Network Ten Pty Ltd,"27,500",Labor (Fed),Labor,Other Receipt,Media and Communications,,🔗
2022,Nexus APAC Pty Ltd,"27,500",Labor (Fed),Labor,Other Receipt,Lobbying Firms,,🔗
2022,Northern Star Resources Ltd,"27,500",Labor (Fed),Labor,Other Receipt,Energy and Resource Companies,Other Energy and Resource Companies,🔗
2022,Singtel Optus Pty Ltd,"27,500",Labor (Fed),Labor,Other Receipt,Media and Communications,,🔗
2022,Organon,"27,500",Labor (Fed),Labor,Other Receipt,Pharma & Private Health Industry,Pharmaceutical Corporations,🔗
2022,Perdaman Chemicals & Fertiliser Pty Ltd,"27,500",Labor (Fed),Labor,Other Receipt,Manufacturing and Heavy Industry,,🔗
2022,PremierNational Pty Ltd,"27,500",Labor (Fed),Labor,Other Receipt,Lobbying Firms,,🔗
2022,QBE Insurance Group Limited,"27,500",Labor (Fed),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,Real Estate Institute of Australia,"27,500",Labor (Fed),Labor,Other Receipt,Lobbying Firms,,🔗
2022,Responsible Wagering Australia,"27,500",Labor (Fed),Labor,Other Receipt,Gambling - Tobacco - Alcohol,Gambling Industry,🔗
2022,Sanofi-Aventis Australia Pty Ltd,"27,500",Labor (Fed),Labor,Other Receipt,Pharma & Private Health Industry,Pharmaceutical Corporations,🔗
2022,Slater & Gordon Ltd,"27,500",Labor (Fed),Labor,Other Receipt,Consultancies and Law Firms,Law Firms,🔗
2022,St Baker Energy Innovation Trust,"27,500",Labor (Fed),Labor,Other Receipt,Energy and Resource Companies,Other Energy and Resource Companies,🔗
2022,Suncorp Group Limited,"27,500",Labor (Fed),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,TAL,"27,500",Labor (Fed),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,Telstra Corporation,"27,500",Labor (Fed),Labor,Other Receipt,Media and Communications,,🔗
2022,Vmware Australia Pty Limited,"27,500",Labor (Fed),Labor,Other Receipt,Services & Retail Sector,IT,🔗
2022,Vocus Communications,"27,500",Labor (Fed),Labor,Other Receipt,Media and Communications,,🔗
2022,Greens (Fed),"27,391",Greens (WA),Greens,Donation Received,Intra-Political Party,,🔗
2022,Greens (Fed),"27,366",Greens (ACT),Greens,Donation Received,Intra-Political Party,,🔗
2022,Spirits & Cocktails Australia,"27,200",Liberals (TAS),Liberal/Nationals,Other Receipt,Gambling - Tobacco - Alcohol,Alcohol,🔗
2022,Holding Redlich,"27,157",Labor (VIC),Labor,Other Receipt,Consultancies and Law Firms,Law Firms,🔗
2022,United Workers Union,"27,000",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Greens (Fed),"26,393",Greens (NSW),Greens,Other Receipt,Intra-Political Party,,🔗
2022,Greens (Fed),"26,336",Greens (TAS),Greens,Other Receipt,Intra-Political Party,,🔗
2022,Department of Finance,"26,263",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Government,,🔗
2022,Department of Finance,"26,225",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Government,,🔗
2022,Greens (Fed),"26,139",Greens (WA),Greens,Donation Received,Intra-Political Party,,🔗
2022,Greens (Fed),"26,114",Greens (NSW),Greens,Other Receipt,Intra-Political Party,,🔗
2022,Romine Holdings,"26,000",GAP Great Aus Party,,Donation Received,Energy and Resource Companies,Other Energy and Resource Companies,🔗
2022,Wendy Smith,"25,990",Liberals (VIC),Liberal/Nationals,Other Receipt,Individual,,🔗
2022,United Workers Union,"25,652",Labor (VIC),Labor,Donation Received,Union,,🔗
2022,Department of Finance,"25,644",Labor (Fed),Labor,Other Receipt,Government,,🔗
2022,Greens (Fed),"25,632",Greens (NSW),Greens,Other Receipt,Intra-Political Party,,🔗
2022,"Construction, Forestry, Maritime, Mining and Energy Union","25,141",Labor (NSW),Labor,Donation Received,Union,,🔗
2022,"Construction, Forestry, Maritime, Mining and Energy Union","25,141",Labor (NSW),Labor,Donation Received,Union,,🔗
2022,"Construction, Forestry, Maritime, Mining and Energy Union","25,141",Labor (NSW),Labor,Donation Received,Union,,🔗
2022,"Construction, Forestry, Maritime, Mining and Energy Union","25,141",Labor (NSW),Labor,Donation Received,Union,,🔗
2022,Kristina Stefanova,"25,000",Greens (Fed),Greens,Donation Received,Individual,,🔗
2022,Lewis Tyndall,"25,000",Greens (Fed),Greens,Donation Received,Individual,,🔗
2022,Advanced Personnel Management,"25,000",Labor (Fed),Labor,Other Receipt,Consultancies and Law Firms,Consulting,🔗
2022,"Construction, Forestry, Maritime, Mining and Energy Union","25,000",Labor (Fed),Labor,Donation Received,Union,,🔗
2022,Jefferson Investments Pty Limited,"25,000",Labor (Fed),Labor,Donation Received,Banking and Finance Industry,,🔗
2022,Jefferson Investments Pty Limited,"25,000",Labor (Fed),Labor,Donation Received,Banking and Finance Industry,,🔗
2022,Maurice Blackburn Lawyers,"25,000",Labor (Fed),Labor,Donation Received,Consultancies and Law Firms,Law Firms,🔗
2022,Medical Technology Association of Australia Ltd,"25,000",Labor (Fed),Labor,Other Receipt,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,Meriton Property Services,"25,000",Labor (Fed),Labor,Donation Received,Developers and Property Industry,Developers/Property,🔗
2022,Edward Hughes,"25,000",Labor (SA),Labor,Donation Received,Individual,,🔗
2022,Cooney Mr Jim,"25,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Individual,,🔗
2022,Mr Angus Dawson,"25,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Individual,,🔗
2022,Henroth Investments Pty Ltd,"25,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Developers and Property Industry,Developers/Property,🔗
2022,Henroth Investments Pty Ltd,"25,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Developers and Property Industry,Developers/Property,🔗
2022,LNP QLD,"25,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Intra-Political Party,,🔗
2022,Liberals (NSW),"25,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Intra-Political Party,,🔗
2022,Liberals (TAS),"25,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Intra-Political Party,,🔗
2022,Liberals (VIC),"25,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Intra-Political Party,,🔗
2022,Liberals (WA),"25,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Intra-Political Party,,🔗
2022,Murray Mr Andrew AM,"25,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Individual,,🔗
2022,Raytheon Australia Pty Ltd,"25,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Defence & Weapons Industry,Defence Industry,🔗
2022,Reece Pty Ltd,"25,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Services & Retail Sector,Retail & Service,🔗
2022,Tamboran Resources,"25,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Energy and Resource Companies,Fossil Fuel Industry > Gas and CSG,🔗
2022,LNP QLD,"25,000",Liberals (TAS),Liberal/Nationals,Donation Received,Intra-Political Party,,🔗
2022,Liberal Party (Fed),"25,000",Liberals (TAS),Liberal/Nationals,Donation Received,Intra-Political Party,,🔗
2022,Mr Richard Smith,"25,000",Liberals (TAS),Liberal/Nationals,Donation Received,Individual,,🔗
2022,Mr Richard Smith,"25,000",Liberals (TAS),Liberal/Nationals,Donation Received,Individual,,🔗
2022,89 Pirie Street Pty Ltd,"25,000",Liberals (SA),Liberal/Nationals,Other Receipt,Developers and Property Industry,Developers/Property,🔗
2022,Holdfast Capital,"25,000",Liberals (SA),Liberal/Nationals,Donation Received,Banking and Finance Industry,,🔗
2022,Kooyong 200 Club,"25,000",Liberals (SA),Liberal/Nationals,Donation Received,Political Fundraising Bodies,Associated Entities,🔗
2022,Liberal Party (Fed),"25,000",Liberals (SA),Liberal/Nationals,Donation Received,Intra-Political Party,,🔗
2022,Ray Borda,"25,000",Liberals (SA),Liberal/Nationals,Donation Received,Individual,,🔗
2022,Responsible Wagering Australia,"25,000",Liberals (SA),Liberal/Nationals,Other Receipt,Gambling - Tobacco - Alcohol,Gambling Industry,🔗
2022,Sportsbet,"25,000",Liberals (SA),Liberal/Nationals,Other Receipt,Gambling - Tobacco - Alcohol,Gambling Industry,🔗
2022,Walker Group Holdings Pty Ltd,"25,000",Liberals (SA),Liberal/Nationals,Other Receipt,Developers and Property Industry,Developers/Property,🔗
2022,Craig Hardwood,"25,000",Liberals (VIC),Liberal/Nationals,Donation Received,Individual,,🔗
