     ,Donor Name                                                                                 ,Type       ,Industry Sector                                                       ,Canonical Industry Sector
1494 ,"Makris, Constantinos"                                                                     ,individual ,                                                                      ,
1495 ,"Maley, Peter John"                                                                        ,individual ,                                                                      ,
1496 ,"Man, Yuying"                                                                              ,individual ,                                                                      ,
1497 ,Mandy Lee Real Estate P/L                                                                  ,company    ,Real estate.                                                          ,Real Estate
1498 ,Maritime Union of Australia (WA)                                                           ,individual ,                                                                      ,
1499 ,Maurice Japarta Ryan                                                                       ,individual ,                                                                      ,
1500 ,"McGeary, Geoffrey"                                                                        ,individual ,                                                                      ,
1501 ,CSG Limited                                                                                ,company    ,IT/Technology                                                         ,IT
1502 ,Michael Murphy                                                                             ,individual ,                                                                      ,
1503 ,"Milanowicz, Anna"                                                                         ,individual ,                                                                      ,
1504 ,CSL Limited                                                                                ,company    ,Pharmaceutical/biotechnology                                          ,Pharmaceuticals
1505 ,Mincor Resources N/L                                                                       ,company    ,Mining (specifically nickel exploration and production)               ,Mining and Minerals
1506 ,CSR Limited                                                                                ,company    ,Building Materials/Construction Materials                             ,Building Materials
1507 ,"Moffatt, Jack"                                                                            ,individual ,                                                                      ,
1508 ,"Moore, David"                                                                             ,individual ,                                                                      ,
1509 ,"Moore, Simon"                                                                             ,individual ,                                                                      ,
1510 ,CST Mining Group Limited                                                                   ,company    ,Mining and Natural Resources                                          ,Mining and Minerals
1511 ,"Myer AO, Martyn "                                                                         ,company    ,Retail/Department Store                                               ,Retail
1512 ,New Idea Furniture P/L                                                                     ,company    ,Furniture Retail.                                                     ,
1513 ,CU Power Australia Pty Ltd                                                                 ,company    ,Energy/Power Generation                                               ,Energy
1514 ,CUB Pty Ltd                                                                                ,company    ,Beverage/Alcohol                                                      ,Beverages
1515 ,Optom Admin                                                                                ,company    ,Unknown                                                               ,Unknown
1516 ,Pacific Hydro                                                                              ,company    ,Energy/Power Generation                                               ,Energy
1517 ,"Pan, Ben"                                                                                 ,individual ,                                                                      ,
1518 ,Cudeco Ltd                                                                                 ,company    ,Mining and metal production.                                          ,Mining and Minerals
1519 ,Parliamentary Labor Party                                                                  ,company    ,Unknown                                                               ,Unknown
1520 ,Culligan Australia Pty Ltd                                                                 ,company    ,Water treatment and solutions                                         ,Water Treatment
1521 ,Currabulla Pty Ltd                                                                         ,company    ,Unknown                                                               ,Unknown
1522 ,"Penn, Heather"                                                                            ,individual ,                                                                      ,
1523 ,"Penn, Richard "                                                                           ,individual ,                                                                      ,
1524 ,Cygan Holdings Pty Ltd                                                                     ,company    ,Unknown                                                               ,Unknown
1525 ,Cypress Lakes Group Ltd                                                                    ,company    ,Hospitality/Tourism                                                   ,Tourism
1526 ,D J Cussan Pty Ltd                                                                         ,company    ,Unknown                                                               ,Unknown
1527 ,D Ryan Hotels Pty Ltd                                                                      ,company    ,Hospitality/Tourism                                                   ,Tourism
1528 ,Professor Silviu Itescu                                                                    ,individual ,                                                                      ,
1529 ,D W & Co Pty Ltd                                                                           ,company    ,Unknown                                                               ,Unknown
1530 ,Daimler Chrysler Aust/Pacific Pty Ltd                                                      ,company    ,Automotive/Manufacturing                                              ,Automotive
1531 ,Dananko Pty Ltd                                                                            ,company    ,Unknown                                                               ,Unknown
1532 ,Dandaloo Development Trust & Harpak Developments Pty Ltd                                   ,company    ,Unknown                                                               ,Unknown
1533 ,"Ross, Brigitte"                                                                           ,individual ,                                                                      ,
1534 ,Danjes Investments Pty Ltd                                                                 ,company    ,Unknown                                                               ,Unknown
1535 ,"Salmon, Gary"                                                                             ,individual ,                                                                      ,
1536 ,"Satterley, Nigel"                                                                         ,individual ,                                                                      ,
1537 ,"Seaton, Gary"                                                                             ,individual ,                                                                      ,
1538 ,"Segal, Julian"                                                                            ,individual ,                                                                      ,
1539 ,"Shoebridge, David"                                                                        ,company    ,Unknown                                                               ,Unknown
1540 ,Daracon Engineering Pty Ltd                                                                ,company    ,Construction/Real Estate/Property Development                         ,Real Estate Development
1541 ,Simplot Australia                                                                          ,company    ,Food Manufacturing and Processing.                                    ,
1542 ,Sir Michael Curtain                                                                        ,individual ,                                                                      ,
1543 ,"Smith, Ernest John"                                                                       ,individual ,                                                                      ,
1544 ,"Smith, Stuart"                                                                            ,individual ,                                                                      ,
1545 ,Darkdale Pty Ltd                                                                           ,company    ,Unknown                                                               ,Unknown
1546 ,Sporting Shooters Association of Australia (NSW) Inc.                                      ,company    ,Recreational/Sporting Industry or Firearms                            ,Recreational
1547 ,"Stahmann, D F and H G"                                                                    ,individual ,                                                                      ,
1548 ,"Stretton, Richard"                                                                        ,individual ,                                                                      ,
1549 ,"Stuart, Mary"                                                                             ,individual ,                                                                      ,
1550 ,"Su, Zhaokai"                                                                              ,individual ,                                                                      ,
1551 ,Darling Farms Pty Ltd                                                                      ,company    ,Unknown                                                               ,Unknown
1552 ,"Tan, Jerene"                                                                              ,individual ,                                                                      ,
1553 ,Daromin Engineering Pty Ltd                                                                ,company    ,Engineering/Construction.                                             ,
1554 ,Darwin Galvanising Pty Ltd                                                                 ,company    ,Metal Fabrication/Galvanizing/Steel                                   ,Metal Fabrication
1555 ,The Eros Association                                                                       ,company    ,The Eros Association is in the adult entertainment                    ,Adult Entertainment
1556 ,The Late Marian Wheatley                                                                   ,individual ,                                                                      ,
1557 ,Darwin International Airport Hotel Pty Ltd                                                 ,company    ,Hospitality/Tourism                                                   ,Tourism
1558 ,Darwin Steel Works Pty Ltd                                                                 ,company    ,Construction & Engineering                                            ,Construction
1559 ,UBS AG                                                                                     ,company    ,Finance and banking.                                                  ,Banking and Finance
1560 ,United Star Resource P/L                                                                   ,company    ,Unknown                                                               ,Unknown
1561 ,"Verschuur, MarkHelen"                                                                     ,individual ,                                                                      ,
1562 ,David Hanney and Associates Pty Ltd                                                        ,company    ,Unknown                                                               ,Unknown
1563 ,"Waislitz, Heloise"                                                                        ,individual ,                                                                      ,
1564 ,"WANG, Zi Chun"                                                                            ,individual ,                                                                      ,
1565 ,David Pocock Pty Ltd                                                                       ,company    ,Unknown                                                               ,Unknown
1566 ,Daycorp Pty Ltd                                                                            ,company    ,The industry sector for Daycorp Pty Ltd is real                       ,Real Estate
1567 ,DBM Investments Pty Ltd                                                                    ,company    ,Unknown                                                               ,Unknown
1568 ,"White, Galen"                                                                             ,individual ,                                                                      ,
1569 ,"Whitford, Brett"                                                                          ,individual ,                                                                      ,
1570 ,"Whyte, Kevin"                                                                             ,individual ,                                                                      ,
1571 ,DBR Investments Pty Ltd                                                                    ,company    ,Unknown                                                               ,Unknown
1572 ,"Williams, Stephen"                                                                        ,individual ,                                                                      ,
1573 ,"WING, TO"                                                                                 ,individual ,                                                                      ,
1574 ,De Bortoli Wines Pty Ltd                                                                   ,company    ,Wine production and distribution                                      ,Wine
1575 ,Debin Nominees Pty Ltd                                                                     ,company    ,Unknown                                                               ,Unknown
1576 ,"Wu, Meijuan"                                                                              ,individual ,                                                                      ,
1577 ,"Wu, Weidong"                                                                              ,individual ,                                                                      ,
1578 ,"XU, JINGUI"                                                                               ,individual ,                                                                      ,
1579 ,Debin Pty Ltd                                                                              ,company    ,Unknown                                                               ,Unknown
1580 ,Deborah Australia International Pty Ltd                                                    ,company    ,Health and beauty products/cosmetics                                  ,Health and Beauty
1581 ,"Zhao, Yuee"                                                                               ,individual ,                                                                      ,
1582 ,Decerna Pty Ltd                                                                            ,company    ,Unknown                                                               ,Unknown
1583 ,Zupp Property Management                                                                   ,company    ,Real Estate/Property Management                                       ,Property Management
1584 ,Decket Pty Ltd                                                                             ,company    ,Unknown                                                               ,Unknown
1585 ,Deepdene Investments Pty Ltd                                                               ,company    ,Unknown                                                               ,Unknown
1586 ,Accomodation Association of Australia                                                      ,company    ,Hospitality and Tourism                                               ,Hospitality and Tourism
1587 ,Deka Pharmaceuticals Pty Ltd                                                               ,company    ,Pharmaceutical/healthcare industry                                    ,Pharmaceuticals
1588 ,"Alafaci, Paul"                                                                            ,individual ,                                                                      ,
1589 ,Allens                                                                                     ,company    ,Law/Legal Services                                                    ,Legal Services
1590 ,"Andrews, Duncan"                                                                          ,individual ,                                                                      ,
1591 ,"Apel, Robyn"                                                                              ,individual ,                                                                      ,
1592 ,Delcrest Pty Ltd                                                                           ,company    ,Unknown                                                               ,Unknown
1593 ,"Austin, Gregory"                                                                          ,individual ,                                                                      ,
1594 ,Della International College Pty Ltd                                                        ,company    ,Education and Training.                                               ,
1595 ,Delmat Distributors pty ltd                                                                ,company    ,Wholesale/Distribution                                                ,Wholesale
1596 ,Deloitte Services Pty Ltd on behalf Deloitte Touche Tohmatsu                               ,company    ,Professional services/consulting.                                     ,
1597 ,Delorco Pty Ltd                                                                            ,company    ,Unknown                                                               ,Unknown
1598 ,Delta Hydraulics Pty Ltd                                                                   ,company    ,Unknown                                                               ,Unknown
1599 ,DEM Australasia Pty Limited                                                                ,company    ,Building materials and equipment supplier                             ,Building Materials
1600 ,Bouddi Trust                                                                               ,company    ,Unknown                                                               ,Unknown
1601 ,"Brown, Jacintha"                                                                          ,individual ,                                                                      ,
1602 ,Dementia Caring Australia Pty Ltd                                                          ,company    ,Health care                                                           ,Healthcare
1603 ,"Changran, Huang"                                                                          ,individual ,                                                                      ,
1604 ,"Chapman, Lance"                                                                           ,individual ,                                                                      ,
1605 ,"CHARDON, JOHN"                                                                            ,individual ,                                                                      ,
1606 ,"Chiu, William"                                                                            ,individual ,                                                                      ,
1607 ,"Clifford, Leigh"                                                                          ,individual ,                                                                      ,
1608 ,Coleman Printing Group                                                                     ,company    ,Construction/Real Estate/Property Development                         ,Real Estate Development
1609 ,Demian Developments Pty Ltd                                                                ,company    ,Real Estate Development                                               ,Real Estate Development
1610 ,Demigre Investments Pty Ltd                                                                ,company    ,Unknown                                                               ,Unknown
1611 ,Demotrip Pty Ltd                                                                           ,company    ,Unknown                                                               ,Unknown
1612 ,"Curran, Eva"                                                                              ,individual ,                                                                      ,
1613 ,"Dainty, Paul"                                                                             ,individual ,                                                                      ,
1614 ,Detmold Packaging Pty Ltd                                                                  ,company    ,Packaging and manufacturing                                           ,Packaging
1615 ,"de Roos, Robert"                                                                          ,individual ,                                                                      ,
1616 ,Develco Pty Ltd                                                                            ,company    ,Unknown                                                               ,Unknown
1617 ,Deveme Pty Ltd Atf Sidoti Family Trust and J & S Sidoti                                    ,company    ,Unknown                                                               ,Unknown
1618 ,"Dickinson, Doug"                                                                          ,individual ,                                                                      ,
1619 ,Devereaux Holdings Pty Ltd                                                                 ,company    ,Unknown                                                               ,Unknown
1620 ,Devine Limited                                                                             ,company    ,Real estate/property development                                      ,Real Estate Development
1621 ,DPCA                                                                                       ,individual ,                                                                      ,
1622 ,Diacos Discount Nursery Pty Ltd                                                            ,company    ,Landscaping and Gardening                                             ,Landscaping
1623 ,Estate Christine Fogg                                                                      ,individual ,                                                                      ,
1624 ,Estate of Judith Catherine Iltis                                                           ,individual ,                                                                      ,
1625 ,Diagnostic Services Pty Ltd                                                                ,company    ,Healthcare/Medical                                                    ,Healthcare
1626 ,DIAH (NT) Pty Ltd atf Airport Hotel Trust                                                  ,company    ,Hospitality/Tourism                                                   ,Tourism
1627 ,Diamond Leisure Pty Ltd                                                                    ,company    ,Unknown                                                               ,Unknown
1628 ,Dick David Fuel Supplies Pty Ltd                                                           ,company    ,Unknown                                                               ,Unknown
1629 ,Dick Smith Investments Pty Ltd                                                             ,company    ,The industry sector for Dick Smith Investments Pty Ltd                ,Unknown
1630 ,Dine Rite Pty Ltd                                                                          ,company    ,Catering and hospitality.                                             ,
1631 ,"Franco, Paul"                                                                             ,individual ,                                                                      ,
1632 ,Direct Mix Concrete Pty Ltd                                                                ,company    ,Construction/Building Materials                                       ,Building Materials
1633 ,Directhaul Pty Ltd                                                                         ,company    ,Transportation and Logistics                                          ,Logistics
1634 ,"Geminder, Raphael and Fiona"                                                              ,individual ,                                                                      ,
1635 ,Distinct Management Services Pty Ltd                                                       ,company    ,Unknown                                                               ,Unknown
1636 ,Diversified Construction Corporation Pty Ltd                                               ,company    ,Construction/Building/Real Estate                                     ,Construction
1637 ,Divot Pty Ltd                                                                              ,company    ,Unknown                                                               ,Unknown
1638 ,DJ Partners Pty Ltd                                                                        ,company    ,Unknown                                                               ,Unknown
1639 ,DMG (Qld) Pty Ltd                                                                          ,company    ,Construction/Building Industry                                        ,Construction
1640 ,DNA Marketing Pty Ltd                                                                      ,company    ,Advertising/Marketing                                                 ,Advertising
1641 ,"Grant, John"                                                                              ,individual ,                                                                      ,
1642 ,Greentree Farming                                                                          ,company    ,Agriculture/Farming                                                   ,Agriculture
1643 ,Dobler Consultants Pty Ltd                                                                 ,company    ,Unknown                                                               ,Unknown
1644 ,"Halikos, John"                                                                            ,individual ,                                                                      ,
1645 ,Dogrow Pty Ltd T/as 3 Wise Monkeys Pub                                                     ,company    ,Hospitality/Restaurant/Entertainment                                  ,Hospitality
1646 ,"Hardwick, Jeffrey and Janice"                                                             ,individual ,                                                                      ,
1647 ,Herbert Smith Freehills                                                                    ,company    ,Law or legal services                                                 ,Legal Services
1648 ,Dolwest Pty Ltd                                                                            ,company    ,Unknown                                                               ,Unknown
1649 ,Doma Constructions Pty Ltd                                                                 ,company    ,Construction/Building                                                 ,Construction
1650 ,Jape Kong Su Nominees                                                                      ,company    ,Unknown                                                               ,Unknown
1651 ,Jeld-Wen Australia P/L                                                                     ,company    ,Building and construction industry                                    ,Construction
1652 ,Dominet Digital Corporation Pty Ltd ATF The Carosa Family Trust                            ,company    ,Unknown                                                               ,Unknown
1653 ,Domus Constructions (AUS) Pty Ltd                                                          ,company    ,Construction industry                                                 ,Construction
1654 ,"Law, Anne"                                                                                ,individual ,                                                                      ,
1655 ,"Lee, George and Maren"                                                                    ,individual ,                                                                      ,
1656 ,Don Watson Pty Ltd                                                                         ,company    ,Unknown                                                               ,Unknown
1657 ,"Malcolm, Warren"                                                                          ,individual ,                                                                      ,
1658 ,"Mason, Peter"                                                                             ,individual ,                                                                      ,
1659 ,Donaldson Coal Pty Ltd                                                                     ,company    ,Mining and Energy                                                     ,Mining and Minerals
1660 ,Donga Furniture & Lighting Pty Ltd                                                         ,company    ,Furniture and lighting.                                               ,
1661 ,"Moore, Darryl"                                                                            ,individual ,                                                                      ,
1662 ,Donkell Pty Ltd ATF The Hyde Family Trust                                                  ,company    ,Unknown                                                               ,Unknown
1663 ,Doroshin Pty Ltd                                                                           ,company    ,Unknown                                                               ,Unknown
1664 ,DOrsogna Limited                                                                           ,company    ,Food Processing/Meat Processing                                       ,Food Processing
1665 ,DoubleDay Australia Pty Ltd                                                                ,company    ,Unknown                                                               ,Unknown
1666 ,Doug Hall Enterprises Pty Ltd                                                              ,company    ,Unknown                                                               ,Unknown
1667 ,Novotel Sydney Olympic Park                                                                ,company    ,Hospitality/Travel/Tourism                                            ,Hospitality
1668 ,Douglas Consolidated Enterprises Pty Ltd                                                   ,company    ,Transport and logistics                                               ,Logistics
1669 ,Douglas Financial Consultants Pty Ltd                                                      ,company    ,Financial Services                                                    ,Financial Services
1670 ,Pascalis Peter Zaparas                                                                     ,individual ,                                                                      ,
1671 ,"Pater, Norman"                                                                            ,individual ,                                                                      ,
1672 ,Douglas Kefford Capital Pty Ltd                                                            ,company    ,Unknown                                                               ,Unknown
1673 ,Dowlings Pty Ltd                                                                           ,company    ,Unknown                                                               ,Unknown
1674 ,"Pratt, Anthony"                                                                           ,individual ,                                                                      ,
1675 ,"Ramsay, Paul"                                                                             ,individual ,                                                                      ,
1676 ,DPA Document Printing Australia Pty Ltd                                                    ,company    ,Printing and publishing.                                              ,
1677 ,DPC Administration Pty Ltd                                                                 ,company    ,Unknown                                                               ,Unknown
1678 ,"Rice, Brendan"                                                                            ,individual ,                                                                      ,
1679 ,"Roche, Dominic"                                                                           ,individual ,                                                                      ,
1680 ,Dr Nathan Better Pty Ltd                                                                   ,company    ,Medical/Healthcare                                                    ,Healthcare
1681 ,Sandfire Resources NL                                                                      ,company    ,Mining/Natural Resources                                              ,Mining and Minerals
1682 ,Dream Investments Pty Ltd                                                                  ,company    ,Unknown                                                               ,Unknown
1683 ,Steve Nolan Constructions P/L                                                              ,company    ,Construction/Building Industry                                        ,Construction
1684 ,"Steven, Scott"                                                                            ,individual ,                                                                      ,
1685 ,DSAH Holdings Pty Ltd                                                                      ,company    ,Unknown                                                               ,Unknown
1686 ,Sundance Resources                                                                         ,company    ,Mining and Resources                                                  ,Mining and Minerals
1687 ,Swick Mining Services                                                                      ,company    ,Mining and resources/drilling and exploration services                ,Mining and Minerals
1688 ,Talrile Property Trust                                                                     ,company    ,Real Estate Investment Trusts (REITs                                  ,Real Estate
1689 ,DTW Uther & Associates Pty Ltd                                                             ,company    ,Unknown                                                               ,Unknown
1690 ,"Tharmalingam, Vythlingam"                                                                 ,individual ,                                                                      ,
1691 ,Dubbo Holdings Pty Ltd                                                                     ,company    ,Unknown                                                               ,Unknown
1692 ,The Mantle Family Trust                                                                    ,company    ,Unknown                                                               ,Unknown
1693 ,The Sun Foundation                                                                         ,company    ,Unknown                                                               ,Unknown
1694 ,Thompson Health Care                                                                       ,company    ,Health Care                                                           ,Healthcare
1695 ,Transcontinental Group                                                                     ,company    ,Unknown                                                               ,Unknown
1696 ,Ducester Pty Ltd                                                                           ,company    ,Unknown                                                               ,Unknown
1697 ,"Truss, Lynette"                                                                           ,individual ,                                                                      ,
1698 ,"Uhrig, John"                                                                              ,individual ,                                                                      ,
1699 ,Ducru Pty Ltd                                                                              ,company    ,Unknown                                                               ,Unknown
1700 ,Duke Elevators Pty Ltd                                                                     ,company    ,Construction/Manufacturing                                            ,Construction
1701 ,Varley Group                                                                               ,company    ,Aerospace and Defense                                                 ,Aerospace and Defense
1702 ,Dukemaster Pty Ltd T/A The Paramount Centre                                                ,company    ,Retail/Shopping Center/Commercial Real Estate                         ,Retail
1703 ,Dundee Investments Pty Ltd                                                                 ,company    ,Unknown                                                               ,Unknown
1704 ,Dundonald Pty Ltd                                                                          ,company    ,Unknown                                                               ,Unknown
1705 ,DWS Limited                                                                                ,company    ,Information Technology (IT) Consulting and Services                   ,IT Consulting
1706 ,Dyldam Developments Pty Ltd                                                                ,company    ,Unknown                                                               ,Unknown
1707 ,Dynamic Rentals Pty Ltd                                                                    ,company    ,Rental Services                                                       ,Rental
1708 ,E D Parsons Pty Ltd                                                                        ,company    ,Unknown                                                               ,Unknown
1709 ,Western Areas NL                                                                           ,company    ,mining                                                                ,Mining and Minerals
1710 ,E F Stathis Company Pty Ltd                                                                ,company    ,Unknown                                                               ,Unknown
1711 ,E S Group Operations Pty Ltd                                                               ,company    ,Unknown                                                               ,Unknown
1712 ,Earledge Pty Ltd                                                                           ,company    ,Unknown                                                               ,Unknown
1713 ,"Wong, Su Mon"                                                                             ,individual ,                                                                      ,
1714 ,Earlee Products Pty Ltd                                                                    ,company    ,Unknown                                                               ,Unknown
1715 ,Yuhu Investment Trust                                                                      ,company    ,Real estate and property investment.                                  ,Real Estate
1716 ,East Coast Gravel Pty Ltd                                                                  ,company    ,Construction or Mining - specifically dealing with gravel extraction  ,Construction
1717 ,"Aboud, Russell"                                                                           ,individual ,                                                                      ,
1718 ,East West International Development Pty Ltd                                                ,company    ,Real Estate Development                                               ,Real Estate Development
1719 ,AP Duncan & HV Smith                                                                       ,company    ,Unknown                                                               ,Unknown
1720 ,"Aroney, Gregory"                                                                          ,individual ,                                                                      ,
1721 ,Australian Unity                                                                           ,company    ,                                                                      ,
1722 ,"Bardon, Richard James"                                                                    ,individual ,                                                                      ,
1723 ,"Bateman, Edmund"                                                                          ,individual ,                                                                      ,
1724 ,"Easterley Pty Ltd Trading as ""Clovelly Hotel"""                                          ,company    ,Hospitality                                                           ,Hospitality
1725 ,"Bishopp, Brad"                                                                            ,individual ,                                                                      ,
1726 ,Brescia Investments Trust                                                                  ,company    ,Unknown                                                               ,Unknown
1727 ,Eastern Australia Agriculture Pty Limited                                                  ,company    ,Agriculture                                                           ,Agriculture
1728 ,Eastern Energy Ltd                                                                         ,company    ,energy and utilities                                                  ,Energy and Utilities
1729 ,Eastern Engine Pty Ltd                                                                     ,company    ,Unknown                                                               ,Unknown
1730 ,Eastgardens Pty Ltd                                                                        ,company    ,Retail/Shopping center                                                ,Retail
1731 ,"Cummins, Andrew"                                                                          ,individual ,                                                                      ,
1732 ,"Davis, Tracy"                                                                             ,individual ,                                                                      ,
1733 ,Eastpalm Investments Pty Ltd                                                               ,company    ,Unknown                                                               ,Unknown
